,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,5,10,Ct,St,Type,Name,Age,Batting style,Bowling style,Role,Arm,Consolidated_Bowling_Style,NO,BF,HS,100,50,0,4s,6s,Country
0,TH David,4,1,2.0,0.0,20,1.0,20.0,10.0,12.0,0.0,0.0,0.0,0.0,bowling,David Warner,37,Left-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,,,Australia
1,A Zampa,20,20,173.0,4.0,1000,38.0,26.31,5.78,27.3,0.0,0.0,2.0,0.0,bowling,Adam Zampa,31,Right-handed,Right arm leg break,Spin Bowler,Right,Leg break,,,,,,,,,Australia
2,AC Agar,2,2,19.0,0.0,81,3.0,27.0,4.26,38.0,0.0,0.0,0.0,0.0,bowling,Ashton Agar,30,Left-handed,Slow left arm orthodox,Pace Bowler,Left,Slow left arm,,,,,,,,,Australia
3,MA Starc,14,14,121.5,3.0,750,25.0,30.0,6.15,29.2,1.0,0.0,7.0,0.0,bowling,Mitchell Starc,33,Left-handed,Left arm fast,Pace Bowler,Left,Fast,,,,,,,,,Australia
4,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
5,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
6,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
7,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
8,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
9,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
10,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
11,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
12,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
13,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
14,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
15,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
16,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
17,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
18,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
19,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
20,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
21,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
22,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
23,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
24,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
25,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
26,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
27,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
28,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
29,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
30,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
31,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
32,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
33,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
34,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
35,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
36,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
37,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
38,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
39,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
40,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
41,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
42,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
43,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
44,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
45,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
46,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
47,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
48,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
49,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
50,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
51,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
52,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
53,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
54,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
55,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
56,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
57,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
58,AM Hardie,1,1,10.0,0.0,62,2.0,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,,,
